"","time","replicate","A","B","Psurv","Interaction","Nsurv"
"221",72,"r12",0.1,0.5,0.759644323998388,"additive",76
"222",96,"r12",0.1,0.5,0.75964392026415,"additive",76
"223",0,"r13",0.5,0.5,1,"additive",100
"224",4,"r13",0.5,0.5,0.816662397476643,"additive",82
"225",24,"r13",0.5,0.5,0.297439847673259,"additive",30
"226",48,"r13",0.5,0.5,0.290634739852467,"additive",29
"227",72,"r13",0.5,0.5,0.290579347236079,"additive",29
"228",96,"r13",0.5,0.5,0.290578891410154,"additive",29
"229",0,"r14",0.75,0.5,1,"additive",100
"230",4,"r14",0.75,0.5,0.645958770755655,"additive",65
"231",24,"r14",0.75,0.5,0.147783376645437,"additive",15
"232",48,"r14",0.75,0.5,0.143701907604641,"additive",14
"233",72,"r14",0.75,0.5,0.143668847455877,"additive",14
"234",96,"r14",0.75,0.5,0.14366857541469,"additive",14
"235",0,"r15",1,0.5,1,"additive",100
"236",4,"r15",1,0.5,0.468052602135003,"additive",47
"237",24,"r15",1,0.5,0.0771739034329059,"additive",8
"238",48,"r15",1,0.5,0.0748711967859308,"additive",7
"239",72,"r15",1,0.5,0.0748525876486269,"additive",7
"240",96,"r15",1,0.5,0.0748524345229573,"additive",7
"241",0,"r16",0,0.75,1,"additive",100
"242",4,"r16",0,0.75,0.933678919151088,"additive",93
"243",24,"r16",0,0.75,0.572292158404603,"additive",57
"244",48,"r16",0,0.75,0.564249084710394,"additive",56
"245",72,"r16",0,0.75,0.564183019086944,"additive",56
"246",96,"r16",0,0.75,0.564182475392529,"additive",56
"247",0,"r17",0.1,0.75,1,"additive",100
"248",4,"r17",0.1,0.75,0.895104159614903,"additive",90
"249",24,"r17",0.1,0.75,0.447829747769194,"additive",45
"250",48,"r17",0.1,0.75,0.439737476048847,"additive",44
"251",72,"r17",0.1,0.75,0.439671279265037,"additive",44
"252",96,"r17",0.1,0.75,0.439670734509598,"additive",44
"253",0,"r18",0.5,0.75,1,"additive",100
"254",4,"r18",0.5,0.75,0.645958770755655,"additive",65
"255",24,"r18",0.5,0.75,0.147783376645437,"additive",15
"256",48,"r18",0.5,0.75,0.143701907604641,"additive",14
"257",72,"r18",0.5,0.75,0.143668847455877,"additive",14
"258",96,"r18",0.5,0.75,0.14366857541469,"additive",14
"259",0,"r19",0.75,0.75,1,"additive",100
"260",4,"r19",0.75,0.75,0.468052602135003,"additive",47
"261",24,"r19",0.75,0.75,0.0771739034329059,"additive",8
"262",48,"r19",0.75,0.75,0.0748711967859308,"additive",7
"263",72,"r19",0.75,0.75,0.0748525876486269,"additive",7
"264",96,"r19",0.75,0.75,0.0748524345229573,"additive",7
"265",0,"r20",1,0.75,1,"additive",100
"266",4,"r20",1,0.75,0.322006353498625,"additive",32
"267",24,"r20",1,0.75,0.0431905654958639,"additive",4
"268",48,"r20",1,0.75,0.041855859279632,"additive",4
"269",72,"r20",1,0.75,0.0418450848938755,"additive",4
"270",96,"r20",1,0.75,0.0418449962374132,"additive",4
"271",0,"r21",0,1,1,"additive",100
"272",4,"r21",0,1,0.816662397476643,"additive",82
"273",24,"r21",0,1,0.297439847673259,"additive",30
"274",48,"r21",0,1,0.290634739852467,"additive",29
"275",72,"r21",0,1,0.290579347236079,"additive",29
"276",96,"r21",0,1,0.290578891410154,"additive",29
"277",0,"r22",0.1,1,1,"additive",100
"278",4,"r22",0.1,1,0.752623901610941,"additive",75
"279",24,"r22",0.1,1,0.224303771240004,"additive",22
"280",48,"r22",0.1,1,0.218651181315645,"additive",22
"281",72,"r22",0.1,1,0.218605280243811,"additive",22
"282",96,"r22",0.1,1,0.218604902531186,"additive",22
"283",0,"r23",0.5,1,1,"additive",100
"284",4,"r23",0.5,1,0.468052602135003,"additive",47
"285",24,"r23",0.5,1,0.0771739034329059,"additive",8
"286",48,"r23",0.5,1,0.0748711967859308,"additive",7
"287",72,"r23",0.5,1,0.0748525876486269,"additive",7
"288",96,"r23",0.5,1,0.0748524345229573,"additive",7
"289",0,"r24",0.75,1,1,"additive",100
"290",4,"r24",0.75,1,0.322006353498625,"additive",32
"291",24,"r24",0.75,1,0.0431905654958639,"additive",4
"292",48,"r24",0.75,1,0.041855859279632,"additive",4
"293",72,"r24",0.75,1,0.0418450848938755,"additive",4
"294",96,"r24",0.75,1,0.0418449962374132,"additive",4
"295",0,"r25",1,1,1,"additive",100
"296",4,"r25",1,1,0.217772920471187,"additive",22
"297",24,"r25",1,1,0.0257782525109634,"additive",3
"298",48,"r25",1,1,0.024967593025508,"additive",2
"299",72,"r25",1,1,0.0249610527029593,"additive",2
"300",96,"r25",1,1,0.0249609988865079,"additive",2
